year,month,appraiser,estimator,lawyer,auditor,actuary,all,official,avg_rate,appraiser_usd,estimator_usd,lawyer_usd,auditor_usd,actuary_usd,price_index,appraiser_real,estimator_real,lawyer_real,auditor_real,actuary_real,oil_price,appraiser_barrels,estimator_barrels,lawyer_barrels,auditor_barrels,actuary_barrels,appraiser_real_smoothed,estimator_real_smoothed,lawyer_real_smoothed,auditor_real_smoothed,actuary_real_smoothed,appraiser_barrels_smoothed,estimator_barrels_smoothed,lawyer_barrels_smoothed,auditor_barrels_smoothed,actuary_barrels_smoothed
2020,4,31808,48127,50845,35045,150000,37726,49306,74.76353333333333,425.4480571187558,643.722920175879,680.0775422599075,468.7445662011694,2006.3257220766275,,,,,,,18.78,22.654316140508826,34.27704580276246,36.21286167518144,24.959774558102733,106.83310554188644,,,,,,9.491464345852897,14.18129624970412,15.44603383349739,10.572043309746908,43.097226114090574
2020,5,30840,47640,60783,32713,150000,39661,50747,72.50029444444445,425.37758275770983,657.1007795907035,838.3828019702295,451.21196059510254,2068.9571145803006,,,,,,,35.46,11.995983721311614,18.53076084576152,23.643057021157063,12.724533575722011,58.34622432544559,,,,,,9.527212495944546,14.281930760327096,15.517791937155208,10.612096190793286,43.3239537702272
2020,6,31640,51108,60107,34868,150000,39812,52123,69.196715,457.24713954990494,738.5899749720778,868.6395011670713,503.8967529022151,2167.7329624679437,,,,,,,44.16,10.354328341256906,16.725316462230023,19.670278559036944,11.410705455213206,49.08815585298786,,,,,,9.536225038554061,14.357419600086056,15.543409972759658,10.61902487132115,43.38386296215598
2020,7,33606,51657,57197,30991,150000,38648,50145,71.29407391304348,471.37157628260707,724.5623256570444,802.2686439515645,434.69251087824426,2103.9616866747324,,,,,,,43.57,10.818718757920749,16.629844518178665,18.413326691566777,9.976876540698743,48.28922852133882,,,,,,9.524109165570476,14.4160400103805,15.532743306159796,10.588974247869707,43.32866720459871
2020,8,33084,49227,54693,34397,150000,37144,47649,73.79810952380953,448.3041667798562,667.0496076070602,741.1165455715958,466.0959504511762,2032.5723920015241,,,,,,,45.1,9.940225427491267,14.790456931420405,16.432739369658442,10.334721739493927,45.06812399116461,,,,,,9.491027860709165,14.458557131190917,15.491967409445152,10.511695268251831,43.2168297064335
2020,9,32679,50587,51101,34864,150000,37923,49259,75.72798636363636,431.5313475137119,668.0093110767203,674.7967621193486,460.3846170237171,1980.7736505724406,,,,,,,40.49,10.657726537755295,16.49813067613535,16.665763450712486,11.370328896609461,48.920070401887884,,,,,,9.428933773715807,14.472450101562526,15.422033043856151,10.376693255655585,43.0591248826892
2020,10,33581,51556,54221,35722,150000,38433,49539,77.66354782608695,432.39075396347323,663.8378163646355,698.1524990516507,459.9583845949552,1931.4080311640803,,,,,,,37.12,11.648457811515982,17.88356186327143,18.80798758221042,12.391120274648578,52.03146635679096,,,,,,9.321462876129257,14.427505366270715,15.298515139998605,10.173514997063432,42.82128996811301
2020,11,33881,52655,57726,37467,150000,39561,49274,76.83946842105263,440.93225390816497,685.2598161073884,751.2545464745058,487.6009786363217,1952.1217817131944,,,,,,,46.92,9.397533118247335,14.60485541575849,16.011392721110525,10.392177720296711,41.605323565924856,,,,,,9.15421692417271,14.285445076526162,15.064480377531494,9.905054397503035,42.46925701005274
2020,12,34023,52849,62389,37565,150000,40494,69278,74.2167043478261,458.42779329767666,712.090363812389,840.6328541295226,506.1528981931994,2021.1083383197101,,,,,,,50.97,8.994070890674449,13.970774255687443,16.492698727281198,9.930408047737874,39.65290049675711,,,,,,8.931433509971528,14.031841697285339,14.683389613058992,9.594038320777182,42.03622465625884
2021,1,32395,51872,60676,38176,150000,37031,49516,74.392475,435.46071023984615,697.2748251755302,815.6201282454979,513.1701828713186,2016.3329691611953,,,,,,,55.81,7.802557072923242,12.493725589957537,14.614229138962513,9.194950418765787,36.12852480131151,,,,,,8.678988624799917,13.696064063127073,14.183334616189594,9.273348108077014,41.616395590615035
2021,2,34505,60362,57359,40531,150000,40718,51229,74.3168157894737,464.2959959122377,812.2253269165191,771.8172447335181,545.3812783746966,2018.3857234266238,,,,,,,64.92,7.151817558722084,12.511172626563756,11.888743757447907,8.400820677367477,31.09035310268983,,,,,,8.423443592924633,13.327240767531537,13.632064149897868,8.96442444771675,41.26665721283432
2021,3,35565,59693,54196,40439,150000,42098,55208,74.39713333333333,478.04261275300036,802.3561839748306,728.4689284622974,543.555889698259,2016.2067176423466,,,,,,,61.63,7.756654433766029,13.01892234260637,11.82003778131263,8.819663957459985,32.714696051311805,,,,,,8.175726452985142,12.958028512290028,13.080585073361517,8.67186347643999,40.96553334380985
2021,4,35565,59693,54196,40439,150000,42098,56614,76.14393181818183,467.07595931508894,783.9495357625644,711.7573089003391,531.0863129127761,1969.953434479498,,,,,,,65.69,7.11030536329866,11.934077268420832,10.835093757045808,8.084736077222958,29.98863502023897,,,,,,7.934666487876935,12.597353818726711,12.544979227024895,8.390071252350078,40.66632986077953
2021,5,36403,60909,52594,35181,155000,40873,56171,74.00427368421053,491.9040237505487,823.0470615779515,710.6886856889914,475.39146387847296,2094.473633528419,,,,,,,67.74,7.261647826255516,12.150089482993085,10.491418448316969,7.01788402536866,30.91930371314466,,,,,,7.701867993015452,12.248983712744861,12.029503102994655,8.116956764011775,40.369100399100915
2021,6,36414,61385,53289,34958,202500,40837,58782,72.61685714285714,501.45381434456385,845.3271377366137,733.8378731424029,481.4033734788066,2788.60870557407,,,,,,,74.91,6.694083758437643,11.284569987139419,9.79626048781742,6.42642335440938,37.226120752557335,,,,,,7.484809706211805,11.924097241616145,11.545828300034199,7.8563306560738235,40.116727133475756
2021,7,38299,60649,54278,37513,250000,43096,55170,73.88989130434783,518.325298953937,820.8023983983218,734.5795079929449,507.6878492822016,3383.412745462917,,,,,,,73.97,7.007236703446492,11.096422852485086,9.9307760983229,6.863429083171578,45.74033723756816,,,,,,7.2962867318206035,11.645855477132216,11.118270555355908,7.620575579929503,39.97770564848037
2021,8,38299,60649,54278,37513,250000,43096,52355,73.58273333333334,520.4889552893296,824.2286913324774,737.6458788791936,509.8071014848592,3397.5361973506465,,,,,,,70.88,7.343241468528917,11.62850862489387,10.406967817144379,7.192538113499706,47.93363709580483,,,,,,7.1518098300464255,11.440799367344814,10.772233596374631,7.42976405279677,40.02874891982803
2021,9,39421,59942,57504,38851,250000,45283,54687,72.92621818181819,540.5600479887269,821.9540447106939,788.5229953462303,532.7439289822689,3428.122371253436,,,,,,,75.86,7.125758607813431,10.835144275121195,10.394450241843268,7.022725138179132,45.190118260656945,,,,,,7.06325649561765,11.323509298643245,10.529295893832323,7.301924639506843,40.327631141198026
2021,10,39680,59772,58080,38753,250000,45526,54649,71.45009090909092,555.3526873812743,836.555968501853,812.8751029008168,542.3785961211322,3498.945863037263,,,,,,,82.1,6.764344547883975,10.189475864821597,9.901036576136624,6.606316639721465,42.61809820995448,,,,,,7.035301781301573,11.290679810152184,10.402383344127491,7.24722702176212,40.89879008308372
2021,11,40688,61634,60189,38577,250000,47976,55639,72.69891052631579,559.6782634764743,847.7981245357113,827.9216230924477,530.6406893956929,3438.841080149395,,,,,,,69.34,8.071506539897234,12.226681922926323,11.94002917641257,7.6527356417030985,49.5939007809258,,,,,,7.064392884209263,11.326132449931425,10.392702540443173,7.266699894565322,41.71324247245895
2021,12,40388,61437,58588,40040,250000,53125,77994,73.76931304347826,547.4905259887138,832.8259741796725,794.2055792964932,542.7731172771145,3388.9430399420235,,,,,,,76.8,7.128782890478044,10.844088205464486,10.34121848042309,7.067358297879095,44.1268624992451,,,,,,7.1432324738187996,11.413787367584101,10.493220840682316,7.355620261040661,42.70909778843687
2022,1,39409,60695,53465,42710,250000,52697,55717,76.59474666666667,514.5130928039277,792.4172693479762,698.0243727768275,557.6100432301189,3263.9314167063853,,,,,,,92.04,5.590103137808863,8.60948793294194,7.58392408492859,6.05834466786309,35.46209709589728,,,,,,7.262377735168262,11.541702044195016,10.68948134413288,7.507770726103661,43.815261325545016
